netCodes	staCodes	stlas	stlos	startDate	endDate	numDays	gapDays	netFlag	staFlag
II	SUR	-32.3797	20.8117	03-Nov-1990 00:00:00	21-Oct-2018 23:59:59	8498	1717	1	1
II	MBAR	-0.6019	30.7382	03-Oct-1999 00:00:00	21-Oct-2018 23:59:59	5009	1950	1	1
IU	TSUM	-19.2022	17.5838	20-Aug-1994 00:00:00	21-Oct-2018 23:59:59	7094	1735	1	1
IU	LSZ	-15.2779	28.1882	06-Aug-1994 00:00:00	21-Oct-2018 23:59:59	5905	2938	1	1
IU	FURI	8.8952	38.6798	10-Sep-1997 00:00:00	21-Oct-2018 23:59:59	5583	2129	1	1
IU	KMBO	-1.1271	37.2525	24-Sep-1995 00:00:00	21-Oct-2018 23:59:59	5378	3051	1	1
IU	KOWA	14.4967	-4.014	10-Mar-1998 00:00:00	24-Oct-2017 23:59:59	1487	5682	1	1
IU	MSKU	-1.6557	13.6116	28-Feb-1999 00:00:00	14-Jun-2010 23:59:59	973	3152	1	2
IU	NAI	-1.2739	36.8037	12-Jan-1995 00:00:00	16-Sep-1995 23:59:59	211	37	1	3
IU	AAE	9.0292	38.7656	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	1	3
GT	LBTB	-25.0151	25.59665	18-Apr-1993 00:00:00	21-Oct-2018 23:59:59	6210	3108	1	1
GT	BOSA	-28.6141	25.2555	27-Feb-1993 00:00:00	21-Oct-2018 23:59:59	5751	3617	1	1
GT	DBIC	6.67016	-4.85656	18-Jun-1994 00:00:00	21-Oct-2018 23:59:59	5004	3888	1	1
GT	BGCA	5.17636	18.42422	22-Jul-1994 00:00:00	26-Oct-2001 23:59:59	1343	1311	1	2
G	ATD	11.530725	42.846634	24-Jul-1993 00:00:00	29-Sep-2018 23:59:59	5752	3447	1	1
G	TAM	22.791491	5.52838	05-Feb-2002 00:00:00	21-Oct-2018 23:59:59	5237	866	1	1
MN	RTC	33.9881	-6.8569	18-Mar-2003 00:00:00	21-Oct-2018 23:59:59	2960	2737	1	1
MN	KEG	29.9275	31.8292	04-Dec-1990 00:00:00	04-Jan-1999 23:59:59	1317	1637	1	2
MN	MDT	32.817	-4.614	09-Jun-1990 00:00:00	17-Mar-1998 23:59:59	624	2215	1	3
MN	GFA	34.338	9.073	23-Aug-1990 00:00:00	20-Oct-1996 23:59:59	303	1948	1	3
MN	MEB	36.303	2.73	23-May-1992 00:00:00	05-Oct-1993 23:59:59	226	275	1	3
GE	MELI	35.289902	-2.9392	20-Dec-1999 00:00:00	17-Dec-2006 23:59:59	2215	340	1	1
GE	KMBO	-1.1268	37.2523	24-Sep-1995 00:00:00	17-Dec-2006 23:59:59	1810	2293	1	1
GE	GHAR	32.122398	13.0885	02-Jan-2002 00:00:00	09-Nov-2002 23:59:59	291	21	1	3
GE	NAI	-1.2739	36.803699	10-Mar-1995 00:00:00	16-Sep-1995 23:59:59	157	34	1	3
GE	MARJ	32.522598	20.8776	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	1	3
GE	PVLZ	35.173	-4.301	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	1	3
GE	WIN	-22.569099	17.091499	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	1	3
AF	TEBE	0.0536	32.483	17-Nov-2007 00:00:00	12-Jun-2018 23:59:59	2052	1809	1	1
AF	DODT	-6.186	35.748	08-Jun-2007 00:00:00	20-Dec-2015 23:59:59	2035	1083	1	1
AF	CVNA	-31.482	19.762	12-May-2006 00:00:00	21-Oct-2018 23:59:59	1948	2598	1	1
