Sta_i Sta_j latt_i long_i latt_j long_j dist_km corr_window period waveType phase_vel uncertainty
SUR MBAR -32.3797 20.8117 -0.6019 30.7382 3668.58973342991 30054 5 L 3.81472368639318 0.0905791937075619
SUR TSUM -32.3797 20.8117 -19.2022 17.5838 1495.10676850178 42564 5 L 3.12698681629351 0.0913375856139019
SUR LSZ -32.3797 20.8117 -15.2779 28.1882 2036.20108823659 35430 5 L 3.63235924622541 0.00975404049994095
SUR FURI -32.3797 20.8117 8.8952 38.6798 4946.53061672511 33498 5 L 3.27849821886705 0.0546881519204984
SUR KMBO -32.3797 20.8117 -1.1271 37.2525 3865.2923553047 32268 5 L 3.9575068354343 0.0964888535199277
SUR KOWA -32.3797 20.8117 14.4967 -4.014 5822.91353800772 8922 5 L 3.15761308167755 0.0970592781760616
SUR MSKU -32.3797 20.8117 -1.6557 13.6116 3483.60288646002 5838 5 L 3.95716694824295 0.0485375648722841
SUR NAI -32.3797 20.8117 -1.2739 36.8037 3829.74248267008 1266 5 L 3.8002804688888 0.0141886338627215
SUR AAE -32.3797 20.8117 9.0292 38.7656 4963.79405099253 0 5 L 3.42176128262627 0.0915735525189067
SUR LBTB -32.3797 20.8117 -25.0151 25.59665 940.357933205619 37260 5 L 3.79220732955955 0.0959492426392903
SUR BOSA -32.3797 20.8117 -28.6141 25.2555 596.752374293351 34506 5 L 3.65574069915659 0.00357116785741896
SUR DBIC -32.3797 20.8117 6.67016 -4.85656 5106.91173300557 30024 5 L 3.84912930586878 0.0933993247757551
SUR BGCA -32.3797 20.8117 5.17636 18.42422 4164.02782179863 8058 5 L 3.67873515485777 0.0757740130578334
SUR ATD -32.3797 20.8117 11.530725 42.846634 5395.57922977555 34512 5 L 3.74313246812492 0.0392227019534168
SUR TAM -32.3797 20.8117 22.791491 5.52838 6318.27076008272 31422 5 L 3.65547789017756 0.0171186687811562
SUR RTC -32.3797 20.8117 33.9881 -6.8569 7897.40196895987 17760 5 L 3.70604608801961 0.00318328463774207
SUR KEG -32.3797 20.8117 29.9275 31.8292 6993.43457793818 7902 5 L 3.27692298496089 0.00461713906311539
SUR MDT -32.3797 20.8117 32.817 -4.614 7694.52822838313 3744 5 L 3.09713178123585 0.0823457828327293
SUR GFA -32.3797 20.8117 34.338 9.073 7486.67254710537 1818 5 L 3.69482862297582 0.0317099480060861
SUR MEB -32.3797 20.8117 36.303 2.73 7833.09867373545 1356 5 L 3.95022204883835 0.00344460805029088
SUR MELI -32.3797 20.8117 35.289902 -2.9392 7890.83882112405 13290 5 L 3.4387443596564 0.0381558457093008
SUR KMBO -32.3797 20.8117 -1.1268 37.2523 3865.31310589099 10860 5 L 3.765516788149 0.0795199901137063
SUR GHAR -32.3797 20.8117 32.122398 13.0885 7185.44108162264 1746 5 L 3.18687260455438 0.0489764395788231
SUR NAI -32.3797 20.8117 -1.2739 36.803699 3829.74243678476 942 5 L 3.4455862007109 0.0646313010111265
SUR MARJ -32.3797 20.8117 32.522598 20.8776 7183.76481440449 0 5 L 3.70936483085807 0.0754686681982361
SUR PVLZ -32.3797 20.8117 35.173 -4.301 7924.68963813713 0 5 L 3.27602507699858 0.0679702676853675
SUR WIN -32.3797 20.8117 -22.569099 17.091499 1147.36816498418 0 5 L 3.65509800397384 0.0162611735194631
SUR TEBE -32.3797 20.8117 0.0536 32.483 3793.73376897931 12312 5 L 3.11899768155838 0.0498364051982143
SUR DODT -32.3797 20.8117 -6.186 35.748 3288.43837440444 12210 5 L 3.95974395851608 0.0340385726666133
SUR CVNA -32.3797 20.8117 -31.482 19.762 140.575264012959 11688 5 L 3.58526775097978 0.0223811939491137
SUR MBEY -32.3797 20.8117 -8.983 33.241 2890.31468686126 9720 5 L 3.75126705930565 0.0255095115459269
SUR WIN -32.3797 20.8117 -22.5667 17.1 1147.35334950749 9636 5 L 3.50595705166514 0.0699076722656686
SUR ANKE -32.3797 20.8117 9.5827 39.7418 5061.025807934 8772 5 L 3.8909032525358 0.0959291425205444
SUR AAUS -32.3797 20.8117 9.0349 38.7665 4964.41614596389 8454 5 L 3.5472155299638 0.0138624442828679
SUR TEZI -32.3797 20.8117 -15.747 26.016 1916.00348134784 8232 5 L 3.14929400555906 0.0257508254123736
SUR UPI -32.3797 20.8117 -28.362 21.253 447.411808152233 7758 5 L 3.84071725598366 0.0254282178971531
SUR ZOMB -32.3797 20.8117 -15.3833 35.35 2389.30469808653 7638 5 L 3.81428482606882 0.0243524968724989
SUR BLWY -32.3797 20.8117 -20.143 28.611 1562.3442390637 7488 5 L 3.92926362318723 0.0349983765984809
